exploration_value,score
10.67,45
10.67,43
10.67,47
10.67,48
10.67,41
10.67,37
10.67,46
10.67,43
10.67,45
10.67,39
10.67,50
10.67,37
10.67,48
10.67,45
10.67,37
10.67,36
10.67,37
10.67,41
10.67,39
10.67,48
10.67,37
10.67,39
11.73,48
11.73,41
11.73,45
11.73,46
11.73,42
11.73,37
11.73,51
11.73,42
11.73,47
11.73,45
11.73,40
11.73,47
11.73,51
11.73,47
11.73,42
11.73,44
11.73,40
11.73,46
11.73,37
11.73,39
11.73,49
11.73,45
11.73,43
11.73,44
11.73,43
11.73,41
11.73,43
11.73,36
11.73,34
11.73,42
11.73,42
11.73,44
11.73,41
11.73,39
11.73,41
11.73,40
11.73,46
11.73,36
11.73,44
11.73,44
11.73,44
11.73,48
11.73,48
11.73,37
11.73,43
11.73,40
11.73,51
11.73,43
11.73,37
11.73,39
11.73,36
11.73,41
11.73,48
11.73,46
11.73,38
11.73,34
11.73,49
11.73,50
11.73,41
11.73,43
11.73,36
11.73,41
11.73,38
11.73,37
11.73,47
11.73,44
11.73,54
11.73,39
11.73,44
11.73,39
11.73,39
11.73,47
11.73,39
11.73,41
11.73,41
11.73,45
11.73,33
11.73,38
11.73,38
11.73,35
11.73,38
11.73,40
11.73,39
11.73,41
11.73,45
11.73,33
11.73,36
11.73,44
11.73,41
11.73,37
11.73,46
11.73,43
11.73,44
11.73,39
11.73,49
11.73,45
11.73,42
11.73,44
11.73,36
11.73,37
12.80,46
12.80,44
12.80,36
12.80,35
12.80,46
12.80,37
12.80,41
12.80,45
12.80,38
12.80,43
12.80,45
12.80,46
12.80,35
12.80,40
12.80,39
12.80,41
12.80,44
12.80,50
12.80,41
12.80,49
12.80,49
12.80,40
12.80,34
12.80,50
12.80,48
12.80,40
12.80,42
12.80,39
12.80,36
12.80,43
12.80,40
12.80,41
12.80,41
12.80,40
12.80,52
12.80,39
12.80,41
12.80,38
12.80,38
12.80,38
12.80,39
12.80,45
12.80,41
12.80,45
12.80,36
12.80,37
12.80,48
12.80,42
12.80,38
12.80,38
12.80,40
12.80,37
12.80,30
12.80,38
12.80,44
12.80,44
12.80,42
12.80,45
12.80,44
12.80,34
12.80,45
12.80,26
12.80,46
12.80,36
12.80,53
12.80,53
12.80,41
12.80,39
12.80,37
12.80,45
12.80,44
12.80,43
12.80,49
12.80,37
12.80,40
12.80,40
12.80,46
12.80,48
12.80,42
12.80,41
12.80,43
12.80,35
12.80,39
12.80,45
12.80,44
12.80,51
12.80,47
12.80,35
12.80,44
12.80,39
12.80,36
12.80,40
12.80,36
12.80,48
12.80,41
12.80,55
12.80,39
12.80,43
12.80,40
12.80,43
