iterations,exploration,score
100,0.01,38
100,0.01,26
100,0.01,38
100,0.01,29
100,0.01,41
100,0.15,35
100,0.15,33
100,0.15,40
100,0.15,36
100,0.15,33
100,0.15,26
100,0.15,37
100,0.15,31
100,0.15,29
100,0.15,44
100,0.2,40
100,0.2,19
100,0.2,25
100,0.2,28
100,0.2,46
100,0.2,35
100,0.2,44
100,0.2,36
100,0.2,29
100,0.2,34
100,0.25,29
100,0.25,34
100,0.25,36
100,0.25,37
100,0.25,40
100,0.25,42
100,0.25,38
100,0.25,39
100,0.25,29
100,0.25,39
100,0.35,41
100,0.35,32
100,0.35,31
100,0.35,31
100,0.35,45
100,0.35,36
100,0.35,29
100,0.35,30
100,0.35,42
100,0.35,35
100,0.433,43
100,0.433,45
100,0.433,38
100,0.433,42
100,0.433,41
100,0.433,40
100,0.433,33
100,0.433,31
100,0.433,40
100,0.433,36
100,0.5,35
100,0.5,30
100,0.5,34
100,0.5,35
100,0.5,45
100,0.5,45
100,0.5,33
100,0.5,42
100,0.5,35
100,0.5,41
100,1,33
100,1,37
100,1,34
100,1,34
100,1,36
100,1,41
100,1,30
100,1,38
100,1,30
100,1,41
100,1.5,32
100,1.5,30
100,1.5,38
100,1.5,35
100,1.5,31
100,1.5,37
100,1.5,31
100,1.5,42
100,1.5,36
100,1.5,39
100,1.75,34
100,1.75,23
100,1.75,30
100,1.75,35
100,1.75,29
100,1.75,33
100,1.75,36
100,1.75,39
100,1.75,32
100,1.75,37
100,2,37
100,2,45
100,2,34
100,2,37
100,2,41
100,2,40
100,2,37
100,2,42
100,2,32
100,2,39
100,2.25,37
100,2.25,47
100,2.25,34
100,2.25,22
100,2.25,42
100,2.25,28
100,2.25,41
100,2.25,36
100,2.25,36
100,2.25,36
100,2.5,32
100,2.5,36
100,2.5,37
100,2.5,38
100,2.5,46
100,2.5,36
100,2.5,33
100,2.5,27
100,2.5,35
100,2.5,33
100,3,46
100,3,27
100,3,33
100,3,36
100,3,30
100,3,26
100,3,38
100,3,39
100,3,38
100,3,39
100,4,18
100,4,28
100,4,43
100,4,29
100,4,38
100,4,22
100,4,38
100,4,35
100,4,37
100,4,35
100,5,39
100,5,35
100,5,39
100,5,31
100,5,42
100,5,36
100,5,39
100,5,29
100,5,39
100,5,29
100,6,41
100,6,35
100,6,35
100,6,36
100,6,27
100,6,42
100,6,31
100,6,23
100,6,14
100,6,31
1000,0.001,46
1000,0.001,50
1000,0.001,49
1000,0.001,45
1000,0.001,40
1000,0.001,47
1000,0.001,42
1000,0.001,47
1000,0.001,46
1000,0.001,48
1000,0.01,54
1000,0.01,42
1000,0.01,43
1000,0.01,48
1000,0.01,48
1000,0.01,45
1000,0.01,46
1000,0.01,47
1000,0.01,41
1000,0.01,44
1000,0.01,49
1000,0.01,51
1000,0.01,49
1000,0.01,46
1000,0.01,52
1000,0.01,44
1000,0.01,50
1000,0.01,52
1000,0.01,44
1000,0.01,48
1000,0.15,41
1000,0.15,45
1000,0.15,44
1000,0.15,54
1000,0.15,48
1000,0.15,52
1000,0.15,51
1000,0.15,52
1000,0.15,45
1000,0.15,52
1000,0.2,49
1000,0.2,48
1000,0.2,51
1000,0.2,53
1000,0.2,47
1000,0.2,56
1000,0.2,50
1000,0.2,49
1000,0.2,48
1000,0.2,51
1000,0.25,46
1000,0.25,44
1000,0.25,48
1000,0.25,51
1000,0.25,49
1000,0.25,44
1000,0.25,42
1000,0.25,47
1000,0.25,47
1000,0.25,48
1000,0.35,47
1000,0.35,48
1000,0.35,50
1000,0.35,45
1000,0.35,49
1000,0.35,47
1000,0.35,49
1000,0.35,52
1000,0.35,51
1000,0.35,46
1000,0.433,53
1000,0.433,50
1000,0.433,47
1000,0.433,46
1000,0.433,48
1000,0.433,50
1000,0.433,48
1000,0.433,44
1000,0.433,50
1000,0.433,56
1000,0.5,46
1000,0.5,48
1000,0.5,48
1000,0.5,47
1000,0.5,44
1000,0.5,44
1000,0.5,49
1000,0.5,49
1000,0.5,49
1000,0.5,50
1000,1,48
1000,1,48
1000,1,43
1000,1,40
1000,1,47
1000,1,39
1000,1,50
1000,1,48
1000,1,47
1000,1,49
1000,1.5,46
1000,1.5,49
1000,1.5,47
1000,1.5,53
1000,1.5,52
1000,1.5,52
1000,1.5,44
1000,1.5,46
1000,1.5,48
1000,1.5,50
1000,1.75,45
1000,1.75,50
1000,1.75,47
1000,1.75,51
1000,1.75,45
1000,1.75,50
1000,1.75,51
1000,1.75,46
1000,1.75,48
1000,1.75,48
1000,2,40
1000,2,40
1000,2,43
1000,2,50
1000,2,47
1000,2,54
1000,2,49
1000,2,53
1000,2,49
1000,2,45
1000,2.25,44
1000,2.25,45
1000,2.25,49
1000,2.25,45
1000,2.25,52
1000,2.25,52
1000,2.25,46
1000,2.25,48
1000,2.25,48
1000,2.25,48
1000,2.5,51
1000,2.5,46
1000,2.5,43
1000,2.5,51
1000,2.5,48
1000,2.5,40
1000,2.5,47
1000,2.5,48
1000,2.5,48
1000,2.5,43
